id,Geographic_Area_Name,Year,Share_of_Male_Aged_15_24,Foreign_Born ,Male_Householder_No_Spouse_Partner_Present,predicted_ratio_it,ineq,violent_crime,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crime
51,Wyoming,2017,13.1,3.5,4.4,1.523310616,1.300518135,1358,98,993,10528,1556,8211,761,23505
52,Puerto Rico,2017,15.1,0,0,0.105508378,0.065436242,,,,,,,,
1,Alabama,2018,14,3.3,4.2,0.819078088,0.759259259,25567,4047,19105,138702,29101,96328,13273,326123
2,Alaska,2018,13.8,8.2,6.1,3.248570973,2.542253521,6555,896,4400,24345,3985,16364,3996,60541
3,Arizona,2018,14,13.4,5.8,1.263504518,1.345549738,34053,6509,23556,192730,31787,141789,19154,449578
4,Arkansas,2018,14.2,4.8,5,0.6757536,0.703007519,16904,1593,12748,89177,19520,62350,7307,209599
5,California,2018,13.7,26.9,6.1,2.261125661,2.296969697,176604,54328,105031,941644,164645,621779,155220,2219251
6,Colorado,2018,13.4,9.6,4.5,1.886201654,2.233766234,22851,3781,14527,154292,21757,110518,22017,349743
7,Connecticut,2018,14.1,14.6,4.9,2.895244645,2.353658537,7485,2205,4321,59356,7983,44181,7192,132723
8,Delaware,2018,12.9,9.4,5,2.037959518,1.579234973,4079,861,2838,22405,3154,17780,1471,52588
9,District of Columbia,2018,12.6,13.9,3.5,2.352955369,2.279792746,6995,2415,3970,30726,1788,26345,2593,74832
10,Florida,2018,12.3,21,5,1.073147054,1.156398104,81980,16884,55551,486017,71933,372919,41165,1126449
11,Georgia,2018,14.5,10.1,4.8,1.188693539,1.29468599,35619,8499,23675,277803,46816,205631,25356,623399
12,Hawaii,2018,12.7,18.7,5.1,2.779021387,2.933823529,3622,951,1922,41027,5709,29600,5718,88549
13,Idaho,2018,14.5,6,4.5,0.841972299,1.09,4196,195,3040,25822,4990,18876,1956,59075
14,Illinois,2018,13.7,14.1,4.7,1.763931461,1.642105263,52343,14251,31084,246679,39317,187517,19845,591036
15,Indiana,2018,14.4,5.3,5,0.996734112,1.092682927,25009,5737,16368,146948,25894,105861,15193,341010
16,Iowa,2018,14.5,5.5,4.5,1.154727041,1.308510638,8303,989,6118,57024,12433,39498,5093,129458
17,Kansas,2018,14.8,7.2,4.1,1.248019763,1.265306122,12861,1420,9655,77449,12792,56726,7931,178834
18,Kentucky,2018,13.9,3.8,4.8,0.723570163,0.823293173,9719,2469,5125,89235,17462,61313,10460,195783
19,Louisiana,2018,13.8,4.2,5.1,0.950185011,0.767857143,25314,4600,18076,152996,31291,110066,11639,353982
20,Maine,2018,12,3.5,4.3,1.014476958,1.078703704,1500,228,802,18201,2712,14712,777,38932
21,Maryland,2018,13.2,15.1,4.6,3.743123267,3.051470588,28330,9716,16132,122945,18910,91887,12148,300068
22,Massachusetts,2018,14.2,17.4,4.2,2.504885623,2.382352941,23424,4084,16737,87658,14095,66968,6595,219561
23,Michigan,2018,14,7,4.9,1.047196897,1.177033493,45176,5638,31082,166186,31834,116876,17476,414268
24,Minnesota,2018,13.1,8.6,4.4,1.871798102,2.135483871,12403,2946,6875,112186,16206,85849,10131,246596
